MamaDo.mid

@393, Channel 1, Program change: Fingered Bs.
@15746, Channel 3, Note off: F4
@15747, Channel 1, Note off: D#2
@15791, Channel 9, Note off: D#2
@15822, Channel 9, Note off: E2
@15911, Channel 0, Note off: A#4
@15916, Channel 0, Note off: F#4
@15921, Channel 0, Note off: D#5
@15973, Channel 9, Note on:  D#2
@15981, Channel 9, Note on:  C2
@16038, Channel 9, Note off: D#2
@16040, Channel 9, Note off: C2
@16128, Channel 0, Note on:  D#5
@16128, Channel 0, Note on:  F#4
@16128, Channel 0, Note on:  A#4
@16134, Channel 9, Note on:  C2
@16231, Channel 9, Note off: C2
@16297, Channel 0, Note off: A#4
@16307, Channel 0, Note off: D#5
@16309, Channel 0, Note off: F#4
@16495, Channel 9, Note on:  D#2
@16512, Channel 0, Note on:  F#4
@16512, Channel 0, Note on:  A#4
@16512, Channel 0, Note on:  D#5
@16512, Channel 9, Note on:  E2
@16562, Channel 9, Note off: D#2
@16568, Channel 9, Note off: E2
@16581, Channel 3, Note off: D#4
@16671, Channel 0, Note off: A#4
@16681, Channel 0, Note off: F#4
@16682, Channel 0, Note off: D#5
@16884, Channel 5, Note on:  A#4
@16885, Channel 5, Note on:  F#4
@16892, Channel 1, Note on:  D#2
@16896, Channel 0, Note on:  F#4
@16896, Channel 0, Note on:  A#4
@16896, Channel 0, Note on:  D#5
@16902, Channel 9, Note on:  C2
@16903, Channel 2, Note on:  F#3
@17009, Channel 9, Note off: C2
@17075, Channel 0, Note off: A#4
@17084, Channel 0, Note off: F#4
@17089, Channel 0, Note off: D#5
@17119, Channel 5, Note off: F#4
@17121, Channel 5, Note off: A#4
@17126, Channel 5, Note on:  D#4
@17267, Channel 9, Note on:  D#2
@17272, Channel 2, Note on:  D#3
@17274, Channel 2, Note off: F#3
@17274, Channel 5, Note on:  F#4
@17276, Channel 5, Note on:  A#4
@17280, Channel 0, Note on:  F#4
@17280, Channel 0, Note on:  D#5
@17280, Channel 0, Note on:  A#4
